sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending,language
Hasya arep buka usaha,Hasya Shop mung nglayani para panuku e-commerce,Hasya ora mbukak kios kanggo bisnise,Hasya nindakake publisitas gedhe kanggo tokone,Hasya mung dodolan online,Hasya resik-resik dagangane sing rame ing rak,jv
Ussy rumangsa yen pitakonan pungkasan ing tes matematika kudu ora diidini.,Nomer ing pitakonan iki ora cetha.,Sawetara bocah njaluk pitakonan kanthi nomer sing beda.,"Sanadyan cara saha wangsulan ingkang dipunserat sampun leres, nanging tetep klentu menawi dipuntingali saking kunci wangsulanipun guru.",Ussy arep ngomong karo gurune mengko pas jam istirahat.,Ussy arep mulih.,jv
Tiara mlaku ing lorong apartemen nggoleki kucing sing ditresnani.,"Tekan mburi bale, Tiara ketemu kucinge.",Nanging kucing karo wong.,Tiara langsung nyedhak lan nyalami wong sing lagi menehi panganan marang kucinge.,"""He... maturnuwun wis diparingi panganan. Aku wis nggoleki dheweke,"" ujare Tiara karo mbukak tembunge.","""Piye yen kita mangan bareng?"" ujare Tiara.",jv
Vallen wis seminggu semaput,Kulawargane Vallen kuwatir karo kahanane Vallen,Wong tuwane Vallen tansah ndongakake sing paling apik kanggo anake,Driji Vallen obah lan mripate mbukak,Vallen wis tangi saka koma,Dokter nyatakake Vallen mati,jv
Saben wulan para wanita RT 2 nganakake pakumpulan sosial,Rapat sosial dianakake ing minggu kepungkur,"Pasamuan kali iki, omahe Bu Mira kapilih dadi tuan rumah",Bu Mira nyiyapake pasugatan kanggo kumpul-kumpul mengko,Dheweke nyiapake macem-macem jajanan tradisional lan sega kotak,Kabeh panganan kanggo kulawargane,jv
Wiwit esuk udan deres,"Nganti awan, udane durung mandheg",Hawane dadi adhem banget amarga udan,Kawontenan menika ndadosaken Juju males nindakaken kegiyatan,"Wiwit esuk iki, dheweke ora tangi saka amben",Juju bakal hibernate nalika udan,jv
Dona mbagi kue sing digawa podo.,Dina iki ulang tahune Dona sing kaping 17.,"Minangka tanda syukur, Dona nggawe kue.",Istirahat iki wektu sing pas kanggo Dona menehi jajan marang kanca-kancane.,Kanca-kancane Dona ngaturake panuwun sinambi ndongakake kabecikan kanggo Dona.,Kanca-kancane Dona padha protes kok dina iki ana tes.,jv
Reno lan Rian gelut ing toko,Bocah TK loro mau dijak tuku potlot karo ibune,Dheweke kasengsem ing potlot sing bentuke kaya mobil dolanan,"Sayange, mung ana siji wadhah potlot",Ibu kandha marang wong loro supaya golek potlot liyane,Ibu mbagi potlot dadi loro,jv
Saiki angel banget yen Nara pisah karo HP.,"Nyatane, nalika SMA, dheweke ora nganggo HP babar pisan.",Iki nggawe dheweke mbales dendam nganti dheweke ora puas nggunakake ponsel.,Ibune Nara kuwatir yen mripate Nara rusak.,"Nanging, bocah wadon kasebut tetep ora peduli lan ora ngrungokake pituture ibune.",Wong wedok iku wis mulai mesam-mesem dhewe karo nyawang HP.,jv
"Prisa nyawang kucinge, Poci, karo nuduh.",Teko mung ngeong sinambi ndilat buntute.,Siji potong pupu pitik ing piring Prisa ilang.,"Prisa krasa yen Poci wis njupuk pitik, nanging dheweke luwe banget ora mikir.","Prisa nglirik Poci pungkasan, banjur mangan sega lan omelet sing isih ana.",Prisa menehi teko ngombe.,jv
"Wendy, kancane Arta, nyoba nenangake Arta.",Wendy ngerti yen Arta ora ngrugekake kanthi nuduh Arta minangka maling.,Arta mung gupuh amarga kas kelase dadi tanggung jawabe Arta minangka bendahara.,Ditambah gunggunge akeh amarga lagi wae nglumpukake dhuwit kanggo oleh-oleh anake Bu Ai.,Bu Ai nembe babaran.,Bu Ai nembe mulih.,jv
Zumba wis dadi olahraga sing biasa ditindakake dening Okta lan Inge.,Saben malem jumat lan minggu esuk jadwale zumba.,Okta lan Inge kanca kantor sing wis kenal wiwit kerja.,"Dina Jumuah, dheweke bakal pindhah menyang gedung olahraga saka kantor.","Dina Minggu, Okta jemput Inge, sing omahe cedhak karo gym, banjur bebarengan.","Dina Minggu, Okta bakal jemput Inge kanggo nonton film ing bioskop.",jv
Titin njaluk klambi anyar marang wong tuwane,Seragame Titin suwek digunting,Titin nggunakake gunting kanggo nggawe kerajinan,Wong tuwane Titin langsung tuku klambi anyar Titin,Seragame Titin kena gunting nalika nyambut gawe,Wong tuwane Titin tuku dolanan anyar kanggo Titin,jv
Isa ora sinau apik ing SMA,Isa ora nerusake sinau,Isa gagal ujian mlebu universitas,Isa milih kerja kanggo mbantu wong tuwane,Isa nyambut gawe ing bengkel bapake,Isa nampa beasiswa prestasi minangka siswa teladan,jv
Kumpul keluarga kudu dadi momen sing nyenengake,"Nanging, Elisa ora nate seneng teka ing acara kulawarga","Ora mung Elisa, sedulur-sedulure uga ora kepenak banget ing kumpul kulawarga",Wong tuwane tansah mbandhingake prestasine anake,Rasa ora kepenak iki ndadekake Elisa tansah dhewekan ing acara kumpul keluarga,&#xC9;lisa lunga saka kulawargan&#xE9;,jv
Lira promosi tokone,Lira ngarep-arep supaya luwih akeh pembeli sing teka ing tokone,Lyra kepengin entuk bathi akeh saka dodolan kasebut,Lyra sukses karo strategi marketing,Warunge Lyra sansaya misuwur,Lyra ora duwe toko,jv
Evelyn pancen kepengin dadi dokter,Evelyn kepengin nulungi wong sing ora mampu,Wong tuwane Evelyn pengin anake sekolah bisnis,Evelyn ora bisa nglawan kekarepane wong tuwane,Evelyn nerusake sinau ing sekolah bisnis sing kondhang,Evelyn dadi dokter amarga dhukungan saka wong tuwane,jv
Irene nyalahke awake dhewe,Intan ora usah terlalu naif,Intan getun marang crita uripe,Intan kudu bangkit saka kahanan,Atine sing rusak bakal nggawe Irene kuwat,Intan ora gelem nerusake uripe,jv
Enzo kerep tuku takjil ing masjid cedhak omahe.,Ana macem-macem jinis takjil sing didol.,"Ana kolak pisang, macem-macem gorengan, lan macem-macem minuman es.",Favorite Enzo yaiku kolak pisang lan tahu isi.,Enzo ora lali tuku takjil ning kono pas wulan Ramadhan.,Enzo ora tau lali sholat tarawih ing mesjid nalika wulan Ramadhan.,jv
Kabar babagan Ari wis dikonfirmasi.,Ridho kancane Ari ngonfirmasi.,Ari wiwit wulan ngarep wis ora mlebu SMA 2 maneh.,Posisi Presiden OSIS sing dicekel Ari bakal otomatis diganti karo wakile.,"Ari kudu pindah sekolah amarga dheweke uga bakal pindhah menyang luar negeri, nututi bapake sing kerja dadi diplomat.",Oji kudu pindah sekolah amarga bosen ing SMA 2.,jv
Livie manggon cedhak tebing,"Yen ana longsor, omahe Livie bakal tiba saka jurang",Bengi iku ana longsor ing area omahe Livie,Livie kasil dievakuasi,Omahe Livie rusak parah,Livie njupuk omahe adoh saka tebing,jv
Rys seneng nganggo celana,Ibune Rys tuku rok anyar,Rys tansah ora kepenak nganggo rok,Rys mung bakal nganggo celana,Rys ora bakal nganggo rok sing dituku ibune,Rys menyang papan dolanan nganggo rok,jv
Kayla males banget adus,"Nalika preian, kadang dheweke ora adus babar pisan","Sakdurunge mangkat sekolah, Kayla angel banget adus","Akibat&#xE9;, awak&#xE9; Kayla dadi reged lan mambu",Ora aneh yen kulit gatel amarga jarang adus,Kayla bangga duwe awak sing mambu,jv
Arya dadi regu pengibaran gendera,Arya minangka kebanggaan kanggo wong tuwa lan sekolah,Arya ngunggahake gendera pusaka ing kraton negara,Pasukan sing nggawa gendera pusaka kudu ngliwati seleksi sing angel,Arya lolos seleksi dadi pasukan ngibarna gendera pusaka,Arya ora gelem ngibarake gendera,jv
Bu Lala duwe anak papat,Anake sing mbarep lan ragil lanang,Anake tengah wadon,Saben bocah lair kanthi jarak setaun,"Sanadyan umure wis cedhak, nanging tetep rukun",Bu Lala kepengin duwe anak maneh,jv
Bapak lan ibune Farhyand wis pegatan,Farhyand manggon karo bapake,Ibune Farhyand nduweni hak asuh Farhyand,Bapake Farhyand paring kamardikan kanggo milih,Farhyand milih manggon karo ibune,Bapake Farhyand meksa Farhyand manggon karo dheweke nggunakake hak wong tuwane,jv
Nirmala pancen kepengin nyambut gawe,Wong tuwane Nirmala ora duwe dhuwit,Nirmala mung arep mbolos sekolah,Nirmala bisa mbantu wong tuwane golek dhuwit,Nirmala ora gelem gawe susahe wong tuwane,Nirmala mung mangertos carane mbuwang dhuwit,jv
Ibu lagi tuku daster ing pasar,Ibu kasengsem ing telung negligees didol,"Sayange, ibu kurang dhuwit rong puluh ewu",Akhire ibune nawar suwe-suwe karo bakul negligee,"Sakwise rembugan rada suwe, akhire ibu entuk telung negli",Ibu nyolong klambi omah saka toko,jv
Diar pengen duwe klambi anyar,Diar ngajak Ibu tuku klambi anyar,Ibu ora duwe dhuwit kanggo tuku klambi anyar,Ibu janji arep tuku klambi Diar yen entuk dhuwit sasi ngarep,Ibu ora gelem tuku klambi anyar kanggo Diar,Diar minggu ngarep duwe klambi anyar,jv
"&#x201C;Ajari aku dadi kuat kaya ibu,&#x201D; kandhane langit ing meja dhahar bengi kuwi.","""Sampeyan kudu ngatasi kabeh alangan, Nak,"" wangsulane ibu karo mesem.","Langit meneng, kaya-kaya lagi mikir.","""Banjur kepiye carane ngatasi alangan yen durung kuwat?"" takon maneh.","""Dheweke, alangan nggawe sampeyan kuwat. Ora ketompo carane akeh sampeyan gagal, sing carane akeh kekuatanmu mundhak"" Ibu tangi saka kursi lan stroked sirah Sky.","&#x201C;Kowe kudu olahraga saben dina, Nak,&#x201D; wangsulane ibuku.",jv
Sejatine Tomi seneng ngancani adhine nonton bioskop,Dheweke ora nate duwe masalah kanggo ndeleng film kanggo bocah-bocah,"Miturut dheweke, film kanggo bocah-bocah uga menarik",Mung siji sing ora disenengi nalika nonton film bocah-bocah,Sawetara bocah asring nangis bosen ing tengah film,Cemilan kanggo bocah-bocah rasane manis banget,jv
Rinan mutusake bali menyang kampung halamane,Ora ana alesan maneh kanggo dheweke tetep ing ibukutha,Rinan wis dipecat saka pegaweyane,Rinan nangis nang bis,Rinan mulih numpak bis,Rinan dijemput wong tuwane menyang ibu kota,jv
Kayla kudu melu latihan,Kayla lulus dadi anggota latihan,Kayla kudu nglatih mental lan fisik supaya tambah kuwat,Kayla kudu bisa urip nganti rampung latihan,Kayla kasil melu latihan lan dadi anggota Paskibra,Kayla ora lulus seleksi dadi anggota Paskibra,jv
Ibu nesu tenan karo Zio,Wektu iki skor kertu laporane saya mudhun,"Nyatane, Zio bebaya ora bisa munggah kelas",Ibu mutusake kanggo ngukum Zio,Dh&#xE8;w&#xE8;k&#xE9; ngalang-alangi anak&#xE9; dolanan dolanan y&#xE8;n bijin&#xE9; ora mundhak,Zio ora bisa mangan kanggo semester ngarep,jv
Ayva roller skating,Ayva duwe kanca apik,Kancane Ayva jenenge Kitty,Kitty ora bisa sepatu roda,Ayva ngajari Kitty main sepatu roda,Kitty ora gelem kekancan karo Ayva,jv
Siska wis suwe ora olahraga,Saiki dheweke kabotan,Awake abot lan gampang kesel yen lagi aktif,Siska mutusake kanggo olahraga rutin maneh,Panjenenganipun miwiti saka &#xE8;nth&#xE8;ng olahraga apa,Dheweke langsung ngleksanani ngangkat bobot sedina muput,jv
Mripate Hana sing lagi natap jendela ngarepe dumadakan ditutup.,Banjur mbukak maneh.,Banjur ditutup maneh.,Hana ngantuk banget.,"Hana mung turu 2 jam, saiki dheweke kudu ana ing kantor kanggo rapat.",Hana kepengin mangan sushi.,jv
Ben nggoleki kunci omah ing saben pojok omah,Mbakyune Ben nggawa kunci serep pungkasan,Ben mutusake kanggo nggawe duplikat kunci omah nalika adhine mulih,Ben ora iso lunga lan kudu nang omah,Ben ngopeni omah amarga wis ora duwe kunci serep maneh,Ben dolanan boling karo kanca-kancane,jv
Aldo saiki lagi latihan nasional,Salah sawijining latihan sing ditindakake Aldo yaiku slamet,Aldo kudu bisa nyusup lan dadi siji karo lemah,Aldo bisa banget,Aldo minangka peserta paling apik ing latihan kasebut,Aldo ora bisa nyusup ing lemah,jv
"Tekan dhuwur, Nara kelingan karo susu kedhele rasa coklat sing diparingake wong.","Ing wektu iku uga padha munggah ing puncak, sing mesthi beda saka puncak sing ditekani saiki.",Minuman iki uga asring diwenehake nalika wong lara.,Nanging saiki Nara wis ora ngerti maneh kepriye kahanane wong sing menehi susu kedhele rasa coklat.,"""Muga-muga dheweke ora apa-apa,"" pikir Nara, ambegan.",Nara klelep amarga lemah lunyu ing ndhuwur pucuk.,jv
Dany seneng banget mangan utek,Ibu menehi Dany akeh otak,Dany kudu bareng karo adhine,Dany rampung utek dhewekan,Mbakyuku nangis amarga ora duwe pikiran,Dany mangan utek karo mbakyune,jv
Aiden angel banget mikir kanthi rasional,Aiden tansah nganggep kasunyatan iku manut kekarepane,Aiden naif banget babagan urip,Aiden ora peduli karo kesalahane,Aiden tansah nyalahake wong liya,Aiden bisa nampa kasunyatan sing ora cocog karo kekarepane,jv
Mario menyang omahe Caesar.,Dheweke wis janji arep main PS bareng sore iki.,Kegiatan iki ora sengaja dadi rutinitas.,Wiwitane Caesar mung ngajak Mario menyang omahe kanggo seneng-seneng dolanan PS.,Nanging ketoke padha seneng banget sing padha dadi rutin saben akhir minggu.,Nanging jebule tanggane.,jv
Robin gelut karo Jason,Jason punched Robin ing rahang,Jason pegel karo tumindak Robin,Robin nanggapi perawatan Jason,Robin lan Jason gelut ajin&#xE9;,Robin ora bisa perang,jv
Zira iku murid sing kompetitif,Dheweke tansah kepengin dadi sing paling apik,Dheweke tansah nyoba unggul ing bidang akademik lan non-akademik,Remaja kasebut kerja keras kanthi sinau lan melu macem-macem kegiatan ekstrakurikuler,Keteguhan Zira dadi panutan kanggo kanca-kancane,Yen ana murid sing luwih apik Zira bakal ngecakake dheweke,jv
"""Apa sampeyan yakin yen ana wong sing bakal ganti saben dina?"" Kaya biasane, dheweke mesthi pinter mbukak topik obrolan.","&#x201C;Iya, mesthi wae&#x201D; wangsulanku sinambi ngunyah gedhang renyah sing lagi wae dituku.","&#x201C;Tegese kowe ora bakal dendam yen ana wong sing nglarani kowe, amarga bisa uga jalaran saka pikirane wingi,&#x201D; pitakone maneh.","""Hmm, bener, mbok menawa aku ora kudu mungkasi kekancan mung amarga masalah kepungkur,"" wangsulanku rada datar, tanpa ndeleng dheweke.","""Aku ngerti, bab sing ala mesthi bakal ninggalake kesan liyane. Nanging nyoba kanggo njaluk ngapura wae"" dheweke nggawe aku mikir maneh lan ilatku dadi saya kesel kanggo njawab.","&#x201C;Oke, ayo numpak motorku, wis telat,&#x201D; wangsulane maneh.",jv
Dina iki Khanza didukani kanthi keras dening atasane,Dheweke nggawe kesalahan ing karya sing diwenehake rong dina kepungkur,Laporan sing digawe ora tundhuk karo standar perusahaan,Atasane njaluk Khanza mbenerake laporan sing digawe,Khanza njaluk ngapura amarga kelalaian lan mbenerake laporane,Khanza jengkel amarga rumangsa salah lan nolak dhawuhe atasane,jv
Fila kepengin mangan apel,Fila nemokake apel ing kulkas,Fila wisuh lan kupas apel,Tangane Fila dumadakan metu getihe,Fila kena lading nalika ngupas apel,Fila ora seneng sayuran lan woh-wohan,jv
Saben uwong bakal entuk apa sing wis diwenehake,Rosi ngapusi kanca-kancane babagan uripe,Rosi ora gelem melas,Rahasiane Rosi kebongkar amarga kecerobohane dhewe,Rosi wis ora dipercaya maneh karo kanca-kancane,Rosi wis jujur karo kanca-kancane wiwit wiwitan,jv
Emmy nggoleki tase ing kamar,Emmy ora bisa nemokake tas dheweke,Emmy takon marang wong-wong ing kamar,Jirai golek tas Emmy,Emmy matur nuwun Jirai,Emmy nampa yen tase ilang lan ora digoleki,jv
Patricia minangka anak pungkasan saka telu.,"Adhine sing sepisanan, Patra, wis omah-omah lan manggon ing kutha sebelah.","Kakang nomer loro, Praveen, wis lulus saka universitas kanthi gelar sarjana.",Praveen lan Patricia umure 5 taun.,Patricia saiki isih SMA.,Patricia saiki isih sekolah TK.,jv
"&#x201C;Kadhang-kadhang deleng dhaerah liya, umpamane desaku,&#x201D; wangsulane nara sawise krungu keluhane bumi babagan papan liburan sing menarik.",&#x201C;Ana apa ing desamu?&#x201D; Bumi ngece.,"""Akeh. Ana segara, pulo, gunung, kali, tlaga segara urip, grojogan..."" jawabe Nara sinambi ngira-ira.","""Hmmm, mbok menawa ing wilayah liyane ora ana?"" mbantah bumi maneh.","&#x201C;Wonten kula mesthi,&#x201D; kandhane cah wadon kanthi yakin karo ngguyu bumi.","""Satemene aku asale saka Jerman,"" ujare bocah wadon kasebut.",jv
Meta seneng banget sup iwak,Gifa babar pisan ora seneng iwak,Meta ngajak Gifa menyang omahe kanggo dolanan,Meta nawakake sup iwak kanggo Gina,Gina alon-alon nolak tawaran Meta,Gina kepeksa mangan sup iwak,jv
Sore iku srengenge panas banget,"Nanging, pelajaran olahraga terus",Fiona panas lan kulite abang,Dumadakan irunge,Guru PE dheweke ngandhani Fiona menyang rumah sakit,Guru senam dheweke nyuda biji Fiona amarga mimisan,jv
Omahe Amira saiki peteng ndhedhet,Pancen angel banget yen srengenge mlebu ing omahe,Tangga-tangga ing sakiwa tengene omah padha nindakake renovasi omah,Omahe tanggane direnovasi dadi rong tingkat,Akibate sinar matahari sing mlebu omahe Amira diblokir omahe tanggane,Omahe Amira dhuwure telu,jv
Hyde minangka atlit,Hyde bakal dadi wakil sekolah kanggo lomba lari nasional,Hyde nandhang tatu nalika latihan,Hyde meksa balapan,Hyde ora bisa ngobahake sikile sawise balapan,Hyde ora bisa mlayu cepet,jv
Reno kerep kesed ganti klambi,"Sanajan kringet utawa teles, dheweke ora kepenak","Akibat&#xE9;, Reno kerep kena tinea versicolor",Punggunge gatel lan kebak tinea versikolor,Dheweke kudu ngolesi punggung kanthi salep kanthi rutin,Punggunge Reno dihiasi kanthi apik karo tinea versicolor,jv
"Ora suwe, adhine Leo bakal ulang tahun",Kangmase pancen seneng iwak,"Nyatane, bocah cilik tansah nganggo sandhangan corak iwak",Leo ngrasa yen adhine sing seneng iwak banget nengsemake,"Mulane, Leo tuku adhine iwak cilik minangka hadiah","Ing ulang tahun, Leo nyelehake adhine ing akuarium supaya dheweke bisa kaya iwak",jv
Dori entuk mobil anyar kanggo ulang tahune,Dori sinau nyopir mobil,Dori menyang dalan gedhe,Dori mandheg nalika lalu lintas dadi abang,Dori nyoba manut aturan lalu lintas,Dori terus ngebut nalika lampu lalu lintas wis abang,jv
Rihana ora nganggo sandal,Tlapake Rihana ngidak kuku,Tlapakane Rihana getihen,Rihana kena infeksi,Tlapakane Rihana kena infeksi kuku sing diidak-idak,Sikile Rihana bisa nahan obyek apa wae,jv
Sikile Rayana kepleset.,Rayana tiba nalika dolanan futsal esuk.,Saiki sikile lara yen mlaku.,Rayana sore iki arep menyang klinik kampus karo Novian kancane futsal.,Novian wis janji arep ngancani dheweke amarga dheweke ora bisa mlaku tanpa bantuan,Novian wis janji arep tuku sepatu futsal anyar.,jv
Izzati ora tau kenal karo bapake,Ibune Izzati kerep nangis ing wayah wengi,Izzati kangen banget karo tokoh bapak,Ibune Izzati ora tau crita marang bapake Izzati,Izzati iku anak saka hubungan sing ora sah,Bapake Izzati tansah ngrangkul Izzati sadurunge turu,jv
Padahal Nanda wis dielingake supaya tertib lalu lintas,"Nanging, dheweke ora ngrungokake",Nanda karcis amarga ora nganggo helm,SIM Nanda kudu disita polisi,"Kanggo njupuk maneh, Nanda kudu rawuh ing pengadilan",Nanda adol sepedha motore amarga ora duwe SIM,jv
Rambute Mila macet ing permen karet,Kancane mung nempelake permen karet ing rambute Mila,Rambute Mila saiki lengket,Permen karet angel dibusak,Rambute Mila kudu dipotong kanggo ngilangi permen karet,"Nalika mangan permen karet, wong bisa mbentuk balon",jv
Hira arep nulis nganggo pulpen,Hira nggoleki persediaan pena,Pulpen HIra wis entek,Hira mlayu menyang toko buku,Hira tuku pulpen anyar ing toko buku,HIra isih duwe pulpen 3 sing durung dienggo,jv
Avril mlayu saka omahe,Avril kudu kerja kanggo nyukupi keluargane,Avril wis dadi tulang punggung kulawargane wiwit bapake seda,Avril ora tau sambat nalika nyambut gawe,Avril seneng karo karyane,Avril metu saka omahe kanggo kerja saben dina,jv
