sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Para penjajah tangtos gaduh senjata anu langkung canggih ti batan para pahlawan Sundanese,"Pahlawan Sundanese henteu sieun kana kanyataan ieu, tapi terus mempertahankan adat istiadat Sunda",Pahlawan terus berjuang pikeun kamerdékaan Sundanese sarta ngajaga budaya Sunda,"Para penjajah diusir sarta pasrah, sarta para pahlawan Sundanese ngadegkeun pamaréntahan sorangan","Jasa para pahlawan Sundanese kudu diinget ku generasi ayeuna, sarta ngahormat tradisi Sunda","Pahlawan teu paduli kana kalakuan para penjajah ieu nagara, sarta ninggalkeun warisan Sunda"
Kecapatan éta aya acara resepsi panganten di imah Hani nu aya di daérah Priangan.,"Bu Hani jeung wanoja tatangga rutin ngayakeun pengajian RT unggal bulan, ngawengku pengajian Sunda.","Méméh jalma-jalma daratang, loba jajanan Sunda khas anu diasongkeun dina méja makan, saperti kolontong jeung awug.",Hani nyokot awug ku leungeunna teu dikumbah.,"Ema langsung nyampeurkeun Hani nepak leungeunna, tuluy nitah ngumbah leungeun heula sanggeus ngalakukeun wudu.",Ema langsung nyampeurkeun ka Hani tuluy nyokot awug bari teu ngumbah leungeun.
Arka boga resep maén suling jeung babaturanana.,Biasana urang maén suling di lebak deukeut imah.,"Pas peuting, Arka bakal maén suling jeung babaturanana.",Saha waé anu padeukeutna ka gawarna bakal disuguhkeun tuangeun.,Arka jeung batur-baturna maén suling gumbira.,Arka jeung babaturanana maen bal gumbira.
Zaid langkung kolot 2 taun ti Bagja.,"Waktu keur budak, mindeng gelut jeung main benteng di sawah.",Zaid remen ngabodor ka lanceukna Bagja nepi ka Bagja ceurik.,"Tapi nalika aranjeunna dewasa, aranjeunna janten caket sataun-taunan.","Zaid jeung Bagja sok nyieun waktu papanggih sahenteuna saminggu sakali sanajan jadwal sibuk sataun-taunan, biasana di warung kopi di daérah Sunda.","Zaid jeung Bagja geus dua taun teu papanggih, sateuacan kaputusan papanggih di Imah Doeloe."
Lanceuk kuring meuli batik Sunda anyar,Lanceukna ngajak ka lanceuk ka pesta adat,Lanceuk nolak tawaran adina pikeun jadi penari Jaipongan,Lanceuk kuring teu boga angklung,Lanceuk maén angklung sorangan di buruan,Lanceuk kuring ogé meuli wayang golek anyar
Arini resep dahareun loba,Arini kudu neundeun bekel keur ngabubuy utang hareup,Arini teu tiasa sering balanja di pasar tradisional,Arini kudu cicing di imah nepi ka peuting,Arini jarang balanja di toko online,Arini balanja unggal poé di mall
"Jadi, kumaha caritana ayeuna?",Naha ujug-ujug nanya kitu?,"Ari-ahir ieu katingalina béda, sigana keur nyogok.",Béda?,Enya.. beuki sumanget? Beuki omong?,Si lalaki nyokot pangsitna tuluy indit.
"Ninggalkeun imah nu keur ruksak, Endang butuh pitulung pikeun salamet","Kulawarga Endang ngalamar bantuan ka Baznas, lembaga anu ngokolakeun zakat di Jawa Barat","Baznas nyaéta lembaga anu dipercaya pikeun nyaluyukeun zakat, infak, sarta shodaqoh di masarakat Sunda",Endang junun meunang pitulung pikeun ngaleungitkeun kakeusukan kulawargana,Kulawarga Endang narima bantuan ti lembaga Baznas,Endang bisa ngadukung dirina tanpa bantuan batur ku lantaran ngagaduhan usaha anu maju
Ari Kang Tata kacida keselna ka putra Siliwangi anu resep ngeusi waktu bari di Pasar Baru,Adina nitah meuli wayang golek ti Bandung anu unik,Tata geus ngingetkeun yen harga angklung anu dijual mahal teuing,"Leuwih ti éta, kualitas teu cocog jeung harga mahal, lantaran ukuranna leutik pisan","Kusabab adina terus ngarenghik, ahirna Tata ngagaleuh ka Masjid Raya Bandung pikeun ngajawab keresahan",Tata ngajual adina ka tukang warung lantaran keuheul ku ayana Batik Priangan
Indung Saiful gering ti salakina ditinggalkeun di imah adat Sunda,Anjeunna geus sababaraha kali ka rumah sakit di Bandung nu kasohor,Jadi biaya médis nyusut kauangan kulawarga nu ari geus tipis,"Saiful, anak hiji-hijina, kapaksa eureun sakola jeung neangan gawe di sawah pikeun ngadukung kulawarga",Sagalana dipigawé pikeun kaséhatan indung nu ngajadikeun manéhna jadi urang Sunda nu tangguh,"Saiful ngarasa teu sumanget indit ka sakola lantaran ngarasa euweuh gunana, tapi dia terus ngalanglang ke arah gunung Tangkuban Parahu pikeun méntaskeun rasa sedihna"
Rina teu resep ngajajar wayang,"Nurutkeun manéhna, wayang téh euyeub pisan",Anjeunna sok ngarasa penat nalika ngajajar wayang,Malahan indungna kungsi nyobaan rupa-rupa lagu Sunda pikeun dipinton ku Rina,"Tapi, Rina tetep teu resep ngajajar wayang",Indung rék masak kacang reungit keur Rina
Saufika nuliskeun résép Sate Marangi anu dicantumkeun dina papan tulis.,"Suasana kelas sepi, ngan sora gonggongan anjing dina luar.","Nu aya ngan Saufika jeung batur sabangkuna, Dianti, nu keur ngadahar rambutan.",Dianti marengan Saufika ngarékam résép Sate Marangi pangajaran pamungkas.,Dianti geus biasa ngalakukeun ieu alatan manéhna nyaho yén Saufika butuh waktu lila nulis résép tradisional Sunda.,Dianti geus biasa nulis dina papan tulis kaligrafi Sunda.
"Ninggal ti upacara adat Sunda, Sabrina marengan lanceukna, Dhanendra, ngabagi-bagi ondangan kawinan Dhanendra.",Ti isuk-isuk Sabrina jeung Dhanendra naek mobil nu dihiasi dekorasi Sunda ka imah barayana.,Maranéhna ngalongok ka imah barayana nu teu jauh ti imahna pikeun ngalaksanakeun upacara adat Sunda sebelum kawinan.,"Dhanendra hoyong masihan anjeun uleman kawinan langsung ka anjeun, kitu ogé pasamoan ramah sarta ngawalinan Sunda.",Jumlahna aya lima imah baraya anu kudu didatangan ayeuna pikeun ngalaksanakeun upacara adat Sunda.,Jumlahna aya lima imah anu kedah ditingali ku Dhanendra pikeun resepsi pernikahan Sunda anu ragem.
Ari resep ngalengkepan kasenian Jaipong,Ari hayang jadi penari Jaipong terbaik,Ari ngalatih awakna pikeun ngalengkepan jurus sareng lincah,Ari junun meunang kajuaraan tingkat propinsi,Kerja keras Ari terbayar,Ari resep damel di tukangeun panggung
Heira méré wayang golek ka Asep,Heira meunang tiDegung ka pasar peuting,Asep nampi wayang golek anu dipasihkeun ku Heira,Asep nangkeup wayang golek pageuh pisan,Heira meunang kaulinan di pasar peuting,Wayang golek Asep murag di jalan sabab murag leupas
Tina gaduh baju Sunda keur Upacara Adat lucu,Baju Sunda éta ngaranna Ulos,Tina ngadamel Ulos kamana waé anjeunna angkat,"Boh di sesepuhan boh di imah, manéhna teu poho mawa Ulos",Budak umur 5 taun resep pisan kana baju adat anu dipasihkeun ku kolotna,Tina nganggap Ulos anakna
"Waktu keur SD, Feri sok dibully ku babaturanana",Anjeunna sering dihina sarta ogé dicoo ku babaturanana,"Anjeunna ogé sering ceurik di sakola, nepi ka anjeunna teu daé keur maju dugi ka acara 17 Agustus di sakola","Geus 12 taun Feri lulus SD, tapi anjeunna masih teu bisa ngaleupas trauma ti jaman keur dibully","Feri téh jalma nu kurang percaya diri jeung teu pinter bersosialisasi, sigana ku lantaran pangalaman dibully jaman SD","Feri loba babaturan jeung nyaah pisan ka babaturanana, nepi ka anjeunna dadi anak nu pang populerna di sakola"
Lena teu kedah ngaleupeuk sambel,Lena ngagaduhan masalah lambung,Lena ngan ukur tiasa ngaleupeuk sambel anu lada,"Lena teu pernah nyobaan sambel dina hirupna, Lena leuwih resep kana urap",Lena teu nyaho rasa sambel,Lena sok nambihan sambel kana unggal kaserahanana
"Gloria diuk nyarandé kana témbok tukangeun kelasna, sabari nyanggakeun kawargi ka budaya Sunda.",Anjeunna dikepung ku réréncangan anu sanés ngeunaan tradisi Jaipongan.,"Maranéhna keur ngadiskusikeun penampilan maranéhanana dina perayaan Hari Guru Nasional, kalayan ngawengku tarian Sunda.","Tanpa disadari, bel tanda istirahat kahiji disada, anu nunjukkeun waktos pikeun ngadahar nasi timbel.","Diskusi bakal diteruskeun engké nalika istirahat kadua pikeun tuang siang, sanggeus maranéhna nginum bajeur.","Sawala bakal dituluykeun engké sanggeus semester geus robah, tapi maranéhna teu ngabogaan waktos keur ngajalankeun tradisi Sunda."
Jio keur ngajaga hayang milih jelema,"Sanajan kitu, anjeunna masih bingung ngeunaan jenis paré anu bakal dipilih",Jio manggihan ngeunaan jenis paré ngaliwatan panggungWAYANG,Anjeunna ogé rutin ngaluncurkeun média sosial komunitas panggungWAYANG,"Tungtungna, Jio milih ngajaga jelema Sunda","Sanggeus dipikir taliti, Jio hayang ngajaga badag kawas maung"
Lanceukna mah puguh baé nunda di imah,Ema asup ka kamar adina nu aya di lantéi luhur,Indung ambek ningali kamar adina nu loba kaciriangan,Adina mah langsung beberesih kamarna sangkan rapi pisan,Kamar adina mah rapi pisan siga kamar pangantén,Adina mah lila ngajaga kamarna antuk tétéla
Ayi jeung adina indit ngala paray,Ayi milih ngala paray ka daérah Cianjur,Adina Ayi milih ngala paray ka daérah Garut,Adina Ayi henteu ngala paray anu sami sareng Ayi,Ayi jeung lanceukna teu ngala paray babarengan,Ayi nuju ngala paray ka daérah Bandung
Hasya rék ngamimitian muka warung kopi di Cianjur,Hasya Coffee Shop ngan ukur ngalayanan pembeli di Bandung,Hasya henteu muka warung sate pikeun usahana,Hasya ngalakukeun publisitas ageung pikeun ulang tahun Sunda,Hasya ukur ngajual kopi Sunda online,Hasya ngabereskeun daganganana nu rancunit dina rak di Pasar Baru
Ussy ngarasa yén sual panungtungan dina ujian ngawangun kudu teu dibere ngaran.,Sorangan dina patarosan ieu teu jelas kana maksudna.,Sababaraha barudak meunang patarosan kalawan jawaban béda ngeunaan wawakal tari Jaipong.,"Sanajan cara jeung jawaban anu ditulisna bener ngeunaan cara ngolah peuyeum, tapi tetep salah lamun ngarujuk kana konci jawaban guru.",Ussy niat ngobrol jeung guruna engke waktu istirahat di saung.,Ussy ngahajakeun ka imah nuju ka Leuwi Panjang.
Tiara leumpang ngaliwatan sawah nepi ka imah batur néangan ucing kesayanganna.,"Sabot anjog ka hareupeun imah, Tiara manggihan ucingna sedeng ngalérér kacang.",Tapi ucing jeung batur nu keur ngalérér peuyeum.,Tiara langsung nyampeurkeun jeung ngabagéakeun batur nu keur ngagawekeun sate marangganya.,"Euh... hatur nuhun tos tuang anjeunna. Abdi milarian anjeunna, ari urang kopi bareng di imah,",Kumaha mun urang ngadahar sate maranggana bareng?
Vallen geus saminggu teu ngalakonkeun ibadah puasa,Kulawarga Vallen hariwang ngeunaan kaayaan Vallen nu keur koma,"Kolotna Vallen salawasna ngadoakeun anu pangsaéna pikeun budakna, kaasup ngajaga syiar Ramadhan",Ramo Vallen ngaléngkah ka masjid jeung panonna dibuka,"Vallen geus sadar tina koma, terus ngalakonkeun salat magrib",Dokter nyatakeun Vallen kudu nunda puasa
Unggal bulan para wanoja RT 2 ngayakeun silaturahmi sareng ngawakeuh kagiatan ngabaktos keur masarakat,"Gempungan sosial dilaksanakeun dina minggu kamari, pas hari raya Idul Fitri","Gempungan sosial kali ieu, imah Bu Mira kapilih jadi tuan rumah lantaran kaayaan na nyaman sareng aman","Bu Mira nyiapkeun masakan keur acara arisan engke, sapertos docang, kolak, sareng gula jawa",Anjeunna nyiapkeun rupa-rupa kueh tradisional sareng sangu kotak kanggé para tamu,"Kabéh masakan éta pikeun kulawargana dahar, henteu dibagikeun ka para tamu"
Ti peuting bédug manggung Wayang Golek,"Nepi ka tengah peuting, penonton masih kantun ngumpul",Suasana jadi rame pisan lantaran lakonna anu sénsitip,Kaayaan ieu ngajadikeun Dalang males ngalakukeun pagelaran,"Ti peuting-peuting, anjeunna teu acan gugah tina palangke",Dalang bakal ngalakukeun pagelaran nalika hujan
Dona ngabagi-bagi es doger nu dibawana sarua.,"Dinten ieu ulang taun Dona ka 17, anu leresna poé ulang taun Sunda.","Minangka tanda sukur, Dona ngala bika ambon.","Istirahat ieu mangrupikeun waktos anu pas pikeun Dona masihan jajan ka babaturan sakelasna, ngagunakeun wadah ulang-ulang anu ékologis.","Babaturan Dona ngucapkeun rasa syukur bari ngadoakeun hal-hal anu hadé pikeun Dona, sarta ngajak Dona ngalakukeun ibadah di masjid.","Babaturan Dona protes naha aya tés dinten ieu, sarta ngajak Dona pikeun indit ka Stadion Si Jalak Harupang pikeun ningali pamaén bola favoritna."
Reno jeung Rian ngalanglang di sawah,Dua budak SD teh diajak meuli bakoel ku indungna pikeun upacara adat,Aranjeunna kabetot dina keranjang ngawangun kawas rumah panggung,"Hanjakalna, ngan ukur aya hiji tempat bakoel",Indungna nitah duaan néangan tempat bakoel nu séjén,Ema ngabagi bakoel jadi dua
Ayeuna hese pisan Nara pisah jeung hapéna anu aya di Tasikmalaya.,"Malahan, waktu keur SMA di SMAN 1 Bandung, manehna teu make hp pisan sarta leuwih resep kaulinan sépak bola jeung bocah séjén.",Hal ieu ngajantenkeun anjeunna males dendam dugi ka teu puas nganggo telepon sélulérna anu kadang-kadang teu bisa ngahubungkeun ka batur di Garut.,Indung Nara hariwang panon Nara ruksak alatan bocah séjén ngagunakeun hp anjeunna.,"Sanajan kitu, mojang tetep acuh jeung teu ngadangukeun nasehat indungna urang anu ngandika kudu waspada dina ngagunakeun hp.",Mojang geus mimiti seuri sorangan nempo hp na anu geus aya aplikasi Sunda jeung ngahiburkeun pisan.
"Prisa ngajak ka ucingna, Poci, bari ngadon ngempud",Techo ngan meong bari ngagedéngkeun sirahna,Hiji sapotong karedok dina piring Prisa urang eureun,"Prisa ngarasa Poci geus nyeuseukeun karedok, tapi lapar teuing mikir","Prisa ngajak ka Poci, tuluy ngahakan sésa péoy jeung krupuk",Prisa masihan inuman sekul
"Windy, sobat Arda, nyoba ngajagi Arda.",Windy nyaho yen Arda maksudna teu ngarugikeun ku nuduh Arda maling.,Arda ngan panik sabab kas kelas maranéhanana tanggung jawab Arda salaku juru bayar.,Katambah-tambah jumlahna kacida gedéna lantaran urang ngumpulkeun duit keur kado keur anak Nini.,Nini karek ngalahirkeun.,Nini kakara datang ka imah.
Jaipongan parantos janten olahraga anu rutin dilakukeun ku Okta sareng Inge.,Unggal malem Jumaah jeung Minggu isuk-isuk téh jadwal maranéhna pikeun nyokot kelas jaipongan.,Okta jeung Inge téh babaturan kantor nu geus kenal ti mimiti digawé.,"Dinten Jumaah, aranjeunna bakal angkat ka sanggar ti kantor.","Dinten Minggu, Okta bakal ngajemput Inge, anu imahna caket sareng sanggar, teras angkat babarengan pikeun ngiringan kelas jaipongan.","Dinten Minggu, Okta bakal ngajemput Inge pikeun lalajo nonton wayang golek di Gedung Budaya Sunda."
Titin hayang nginum bandrek ka kolotna,Gunting Titin dirobek ku leuleueur,Titin ngagunakeun leuleueur pikeun nyieun rupa-rupa,Kolotna Titin langsung meuli batik titimangsa Titin,Gunting Titin keuna leuleueur bari ngagarap rupa-rupa,Kolotna Titin ngagaleuh Titin cocooan batik
Isa henteu diajar saé di SMA di Bandung,Isa teu neruskeun studi na ka Universitas Padjadjaran,Isa gagal dina ujian asup Fakultas Sastra Sunda,Isa milih digawé pikeun mantuan kolotna nu ngajual batik di Pasar Baru,Isa digawé di bengkel bapana nu ngahasilkeun alat musik Sunda,Isa meunang beasiswa prestasi salaku murid exemplary ka luar negeri
Upacara adat Sundanese kedah janten momen anu pikaresepeun,"Sanajan kitu, Elisa pernah resep datang ka upacara ngawitan puasa Ramadhan","Henteu ngan ukur Elisa, dulur-dulurna ogé henteu resep pisan dina acara Sedekah Bumi",Kolotna sok ngabandingkeun prestasi anak-anakna dina ngajaga kasundaan,Perasaan teu ngarareunah ieu ngajadikeun Elisa salawasna nyalira di pasamoan adat,Élisa undur ti pasamoan adat pikeun ngora ka Jakarta
Lira ngadegkeun warung di deukeut pasar Bubulak,Lira miharep beuki loba nu meuli nu datang ka warung na ngalér ngaliwatan kaéndahan ukiran kayu,Lyra hayang meunang loba kauntungan tina jualan batik has Sunda,Lyra suksés kalayan strategi pamasaran na anu ngutamakeun kadaharan Sunda nu éndah,Warung Lyra jadi pusat kuliner Sunda favorit pikeun warga Bandung,Lyra gagal ngadegkeun warung lantaran hentes teu terang kana pangusaha
Evelyn hoyong pisan janten sinden,Evelyn hayang nulungan jalma nu teu mampuh di kampungna,Kolotna Evelyn hoyong budakna angkat ka sekolah musik tradisional Sunda,Evelyn teu bisa ngalawan kahayang kolotna nu hayang manéhna jadi juru kawih,Evelyn nuluykeun pelajaran na di sanggar tari Jaipong nu dipikawanoh,Evelyn jadi sinden berkat rojongan ti kolotna nu ngahajakeun ka padalangan
Irene nyalahkeun dirina sorangan di tengah hutan Sancang,Intan teu kedah naif teuing kana janari jeung dongeng,Intan kaduhung kana carita hirupna ti baheula,Intan kudu bangkit tina kaayaan ngalaman kaulinan rakyat Sunda,Haté anu rusak bakal ngajantenkeun Irene langkung kuat ngaliwat kaayaan,Intan teu hayang neruskeun hirupna lantaran teu sanggup ngalawan kaberatan
Enzo sering ngajual kue putu di pasar Cirebon deukeut imahna.,Aya rupa-rupa kue anu dijual.,"Aya kue putu, rupa-rupa gorengan, jeung sababaraha rupa inuman es tebu.",Karesep Enzo nyaéta kue putu tebu sareng kupat tahu.,Enzo henteu bosen ngajual kue putu di dinya salami bulan Apil.,Enzo henteu bosen ngayon kacapi suling di pasar salami bulan Apil.
Paméaran ngeunaan Ari geus dikonfirmasi di acara ngaji di masjid.,"Ridho, ari sobatna, negeskeun kitu nalika sedek keur ngalap olok di sawah.","Ari ka SMA 2 mah mimiti bulan Sura mah, pas keur upacara pikeun nyambut Maulid Nabi.","Ari kalungguhan Ketua OSIS anu dicepeng ku Ari otomatis diganti ku wakilna, sanggeus ngalap pangestu ti maranehna.","Ari kudu pindah sakola sabab bakal pindah ka Bandung ogé, nuturkeun bapana nu gawéna jadi pagawé di PT. Kereta Api.","Oji kudu pindah sakola lantaran bosen di SMA 2, terus milih sakola séjén nu jarakna deukeut ka rumahna di Cianjur."
Lébar cicing di deukeut situ,"Lamun aya longsor, situ Lébar bakal jadi leuwih luhur",Peuting harita aya longsor di wewengkon situ Lébar,Masarakat suksés diungsikeun,Situ Lébar jadi leuwih luhur kalah ka imah,Lébar nyandak imahna jauh ti situ
Rys resep make kacang rebus,Indungna Rys ngagaleuh kembang kol anyar,Rys sok keuheul nginum kopi,Rys ngan ukur nganggo batik,Rys moal nganggo iket kaayaan anu dibeli ku indungna,Rys indit ka kebon entog maké sandal
Kayla males nginum cai jeung kopi,"Dina liburan, kadang anjeunna teu nginum cai jeung kopi","Saméméh indit ka pasantren, éta hésé pisan meunang Kayla nginum","Hasilna, awak Kayla jadi lemes jeung rada gering",Teu jarang Kayla ngalami diaré lantaran jarang nginum cai,Kayla reueus boga awak sehat
Arya jadi regu pengibar bendera Merah-Putih di Upacara Kemerdekaan di Kabupaten Bandung,Arya jadi ketua OSIS di SMAN 1 Cianjur jeung aktif di paguyuban seni Sunda ,Arya ngangkat bendera pusaka di Keraton Kasepuhan di Cirebon,Pasukan anu mawa bendera pusaka kudu ngaliwatan seleksi anu tangguh sarta lulus tes adat,Arya lulus seleksi pikeun jadi pasukan naékkeun bendera pusaka di Hari Kemerdekaan RI,Arya teu hayang ngibarkeun bendera di panggung utama pikeun ngahormat Prabu Siliwangi
Bu Lala boga budak opat nu sok ngahudang jeung ngaluarkeun kasenangan,"Anakna nu cikal jeung nu bungsu téh lalaki, sarua jeung tokoh Wayang Golek, Cepot jeung Samba","Anak tengahna awéwé, anu sarua jeung tokoh Putri, Dewi Siti Sundari","Unggal anak dilahirkeun dina jarak sataun, sarua jeung jarak waktu upacara adat Sunda nu tangtu","Sanajan umurna padeukeut, sok akur jeung lantip saling ngabantos","Bu Lala hayang boga budak deui, sangkan ari dibéré katuranggan nu bénten"
