sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Sabrina ngancani adhine Dhanendra mubeng-mubeng nyebar undhangan manten Dhanendra.,Wiwit esuk iki Sabrina lan Dhanendra lunga numpak mobil.,Dheweke dolan menyang griya sedulur sing ora adoh saka griya.,"Dhanendra kersa ngaturaken undhangan manten langsung dhateng panjenengan, ugi srawung.",Gunggunge ana lima griya sedulur sing kudu disinggahi dina iki.,Gunggunge ana lima griya sing kudu dibuka Dhanendra kanggo resepsi manten.
Aku remen senam lantai kanggo nguri-uri tradisi Jatilan,Aku pengin dadi atlet senam kanggo ngurmati para leluhur,Aku latihan awak supaya luwes lan lincah kaya tari Bedhaya,Aku kasil menang juara nasional kanggo ngangkat derajat budaya Jawa,"Kerja keras lan sabar nduwe kasil, aku bener-bener bahagia","Aku kecewa amarga kalah, mulih ke desa bakal kalah"
Heira menehi Wayang kulit marang Fusay,Heira entuk saka dolanan ing pasar Ngayogyakarta,Fusay nampa Wayang kulit sing diwenehake Heira,Fusay ngrangkul Wayang kulit kuwi kenceng banget,Heira menang dolanan ing Kraton Yogyakarta,Wayang kulit Fusay tiba ing Bengawan Solo amarga ambruk
Maria duwe wayang golek sing lucu,Wayang golek kasebut jenenge Loro Jonggrang,Maria nggawa Loro Jonggrang menyang ngendi wae,"Ing sekolah utawa ing omah, dheweke ora lali nggawa Loro Jonggrang",Bocah umur 5 taun kuwi seneng banget karo wayang golek sing diwenehake wong tuwane,Maria nganggep Loro Jonggrang anake
"Nalika isih SD, Feri tansah dibully dening kanca-kancane ing sekolah dasar ing desa",Dheweke kerep dihina lan uga didol karo kanca-kancane nalika main sepak bola ing lapangan,Dheweke uga kerep nangis ing pendopo sekolah,Wis 12 taun Feri lulus SD lan dadi warga desa sing tanggung jawab,Feri kuwi wong sing kurang percaya diri lan ora pinter srawung karo masarakat,Feri dadi lurah desa lan disenengi banget karo warga desane
Lena kudu mangan gudeg nalika mawan,Lena duwe masalah weteng amarga mangan gudeg kang terlalu asin,Lena mung bisa mangan es campur sing manis,Lena durung nate nyoba jipang sajrone uripe,Lena ora ngerti rasa jipang,Lena tansah nambah gula Jawa kanggo saben sajian tradisional
Gloria lungguh nyenderake bingkeng mburi kelase.,Dheweke diubengi kanca-kanca liyane kang lagi semedi.,Lagi ngrembug penampilane kanggo pengetan Dina Kemerdikaan.,"Tanpa disadari, bedug tanda jam istirahat pertama wis bubar.",Diskusi bakal diterusake mengko nalika istirahat kaping pindho sajrone nedha awan.,Diskusi diterusake mengko sawise lebaran.
Jio wis suwe pengin njaga manuk hias,"Nanging, dheweke isih bingung arep milih manuk hias apa",Jio ngerteni jinis manuk hias liwat internet,Dheweke uga rutin surfing media sosial toko burung,"Akhire, Jio milih njaga manuk merak","Sawise mikir kanthi ati-ati, Jio kepengin njaga manuk garudha"
Kakang iku wong kesed,Ibu mlebu ndalem adhiku,Ibu nesu nalika weruh ndalem adhine,Adhiku langsung resik-resik ndalem,Ndalem mbakyuku repot banget,Mbakyuku sregep ngresiki ndalem
Maya lan adhine lunga preian,Maya milih liburan ing Pura Tanah Lot,Mbakyune Maya milih preinan menyang Dieng,Mbakyune Maya ora numpak becak sing padha karo Maya,Maya lan mbakyune ora preian bareng,Maya prei menyang Dieng
Hasya arep ngadegkeun warung,Hasya Shop mung nyediakeun jasa kanggo para pembeli e-commerce,Hasya ora mbukak kios kanggo dagang,Hasya nindakake promosi gedhe kanggo butike,Hasya mung dodolan liwat daring,Hasya resik-resik dagangane sing rame ing pasar tradisional
Ussy rumangsa yen pitakonan pungkasan ing tes matematika kudu ora diidini.,Nomer ing pitakonan iki ora cetha kaya nomer-nomer ing wayang kulit.,Sawetara bocah njaluk pitakonan kanthi nomer sing beda kaya para penonton wayang.,"Sanadyan cara saha wangsulan ingkang dipunserat sampun leres, nanging tetep klentu menawi dipuntingali saking kunci wangsulanipun guru kaya para abdi dalem ngerti perintah sang raja.",Ussy arep ngomong karo gurune mengko pas jam istirahat ing pendopo sekolah.,Ussy arep mulih mlebu ke pendapa omah.
Tiara mlaku ing lorong pendopo nggoleki kucing sing dipuntresnani.,"Tekan mburi bale, Tiara ketemu kucinge.",Nanging kucing karo wong.,Tiara langsung nyedhak lan nyalami wong sing lagi menehi panganan marang kucinge.,"He... matur nuwun wis diparingi panganan. Aku wis nggoleki dheweke, ",
"Rahina kamis, Vallen wis seminggu semaput",Kulawargane Vallen kuwatir karo kahanane Vallen sing ngantepi lebaran,"Wong tuwane Vallen tansah ndongakake sing paling apik kanggo anake, mulai saka mangan ing wadon uga mesthi ngandelke bocah","Driji Vallen obah lan mripate mbukak, Vallen melu nyangoni bengi lan siyangan wengi","Vallen wis tangi saka koma lan ngayuh lungguh, matur nuwun kacarita dumateng bidadara","Dokter nyatakake Vallen mati, kulawargane matur nuwun kacarita mireng kahanan iku"
Saben wulan para putri RT 2 nganakake pakumpulan sosial nganggo busana Batik tiga negeri,"Rapat sosial dianakake ing minggu kepungkur, pas acara Sekatenan ing Masjid Agung","Pasamuan kali iki, omahe Bu Mira kapilih dadi tuan rumah, omah kang nganggo desain Joglo khas Jawa","Bu Mira nyiyapake pasugatan kanggo kumpul-kumpul mengko, nganggo irisan tebu lan wedang ronde","Dheweke nyiapake macem-macem jajan pasar khas Jawa, kayak krupuk, gethuk, lan es teler, uga sega gudangan lan ingkung","Kabeh panganan kanggo kulawargane, tapi ora nganggo piring, mung nganggo godhong pisang"
Wiwit esuk wayah udan deres teka ing lereng Merapi,"Nganti awan, udane durung mandheg, kaya-kaya ora bakal berhenti","Hawane dadi adhem banget amarga udan, kaya-kaya ing mangsa katiga",Kawontenan menika ndadosaken Juju males nindakaken kegiyatan ing pasar tradisional,"Wiwit esuk iki, dheweke ora tangi saka amben, milih mameri ing griya","Juju bakal hibernate nalika udan, kaya-kaya ula ing ngembang"
Dona mbagi es teler sing digawa podo saking Bandung.,"Dina iki ulang tahune Dona sing kaping 17, tepat dina Rebo Pon.","Minangka tanda syukur, Dona nggawe kue lapis sing legi.",Istriahat iki wektu sing pas kanggo Dona menehi jajan marang kanca-kancane sasarengan ngobrol ngenani wayang Kulit.,Kanca-kancane Dona ngaturake panuwun sinambi ndongakake kabecikan kanggo Dona nalika arep mulih lewat jalan Braga.,Kanca-kancane Dona padha protes kok dina iki ana tes marang Pak Guru Basa Sunda.
Dinda lan Dimas gelut ing pasar tradisional,Bocah SD loro mau dijak tuku wayang karo ibune,Dheweke kasengsem ing wayang sing bentuke kaya ksatriya Jawa,"Sayange, mung ana siji wadhah wayang",Ibu kandha marang wong loro supaya golek wayang liyane,Ibu mbagi wayang dadi loro
Saiki angel banget yen Nara pisah karo wayang kulit.,"Nyatane, nalika SMA, dheweke ora nganggo baju beskap babar pisan.",Iki nggawe dheweke mbales dendam nganti dheweke ora puas nggawa blangkon.,Ibune Nara kuwatir yen mripate Nara rusak amarga kepentungan.,"Nanging, bocah wadon kasebut tetep ora peduli lan ora ngrungokake pituture ibune.",Wong wedok iku wis mulai mesam-mesem dhewe karo nyawang gamelan.
"Prisa nyebrang sawah, Poci, karo nuduh.",Teko mung ngeong sinambi ndilat buntut lembu.,Siji potong gudeg ing piring Prisa ilang.,"Prisa krasa yen Poci wis njupuk gudeg, nanging dheweke luwe banget ora mikir.","Prisa nglirik Poci pungkasan, banjur mangan soto lan krupuk sing isih ana.",Prisa menehi teko teh kweni.
"Widy, kancane Arta, nyoba nenangake Arta.",Widy ngerti yen Arta ora ngrugekake kanthi nuduh Arta minangka maling.,Arta mung gupuh amarga kas désa dadi tanggung jawabe Arta minangka bendahara.,Ditambah gunggunge akeh amarga lagi wae nglumpukake dhuwit kanggo oleh-oleh anake Mbak Sri.,Mbak Sri nembe tekan.,Mbak Sri nembe lunga.
Reog wis dadi pagelaran sing biasa ditonton dening Okta lan Inge.,Saben malem Selasa lan Kemis sore jadwale latihan reog.,Okta lan Inge kanca désa sing wis kenal wiwit cilik.,"Dina Jemuwah, dheweke bakal pindhah menyang balai désa saka pasar.","Dina Kemis, Okta jemput Inge, sing omahe cedhak karo balai désa, banjur bebarengan.","Dina Kemis, Okta bakal jemput Inge kanggo mborong ing pasar tradisional."
Titin njaluk batik anyar marang wong tuwane,Seragame Titin suwek digunting kaya wayang kulit,Titin nggunakake gunting kanggo nggawe kerajinan tangan kaya makutha ratu,Wong tuwane Titin langsung tuku batik anyar Titin kanggo upacara adat,Seragame Titin kena gunting nalika nyambut gawe kanggo nggawe blangkon,Wong tuwane Titin tuku gamelan anyar kanggo Titin
Isa ora sinau apik ing Pesantren,Isa ora nerusake sinau nggeh ngaji,Isa gagal ujian nganti mlebu Pondok Pesantren,Isa milih kerja kanggo mbantu wong tuwane nandur pari,Isa dados juru khotbah mulya ing masjid bapake,Isa nampa beasiswa prestasi minangka santri teladan
Kumpul kulawarga kudu dadi momen sing nyenengake,"Nanging, Elisa ora nate seneng teka ing acara sedekah bumi","Ora mung Elisa, sedulur-sedulure uga ora kepenak banget ing kumpul kulawarga nonton wayang",Wong tuwane tansah mbandhingake prestasine anake sajeroning lomba reog,Rasa ora kepenak iki ndadekake Elisa tansah dhewekan ing acara kumpul keluarga,Élisa lunga saka pasarean
Lira nglakoni promosi ing pasarean,Lira ngarep-arep supaya luwih akeh wong sing teka ing warung,Lyra kepengin entuk bathi akeh saka dodolan kasebut ing hari raya Idul Fitri,Lyra sukses karo strategi marketing sing migunakake medsos,Warunge Lyra sansaya misuwur ing kalangan warga Yogyakarta,Lyra ora duwe warung maneh
Evelyn pancen kepengin dadi dalang wayang,Evelyn kepengin nulungi wong sing ora bisa ndongeng,Wong tuwane Evelyn pengin anake sinau nggawé keris,Evelyn ora bisa nglawan kekarepane wong tuwane,Evelyn nerusake sinau wayang ing sanggar wayang kondhang,Evelyn dadi pande besi amarga dhukungan saka wong tuwane
Irene nyalahke awake dhewe kaya déweking bumi Alas Mentaok,Intan ora usah terlalu naif kaya putri Rara Jonggrang,Intan getun marang crita uripe kaya wayang kulit,Intan kudu bangkit saka kahanan kaya semeru kang bangkit,Atine sing rusak bakal nggawe Irene kuwat kaya banteng terluka,Intan ora gelem nerusake uripe kaya wong kang ora gelem ngugemi
Enzo sering membeli takjil di masjid dekat rumahnya pada bulan Ramadan.,Terdapat berbagai jenis takjil yang dijual.,"Ada kolak pisang, berbagai gorengan, dan berbagai minuman es.",Favorit Enzo adalah kolak pisang dan tahu isi.,Enzo tidak pernah lupa membeli takjil di sana saat bulan Ramadan.,Enzo tidak pernah lupa untuk menghadiri pengajian di musholla setiap malam Jumat.
Kabar babagan Ari wis dikonfirmasi.,Ridho kancane Ari ngonfirmasi.,Ari wiwit wulan Sapar wis ora mlebu SMA 2 maneh.,Posisi Ketua OSIS sing dicekel Ari bakal otomatis diganti karo wakile.,"Ari kudu pindah sekolah amarga dheweke uga bakal pindhah menyang luar negeri, nututi bapake sing kerja dadi diplomat.","Karto kudu pindah sekolah amarga bosen ing SMA 2, banjur mlebu ke Perguruan Tinggi Agama."
Livie manggon cedhak lereng Lawu,"Yen ana longsor, omahe Livie bakal tiba saka kawah",Bengi iku ana longsor ing area omahe Livie,Livie kasil dievakuasi,Omahe Livie rusak parah,Livie njupuk omahe adoh saka lereng
Rys seneng nganggo beskap,Ibune Rys tuku jarik anyar,Rys tansah ora kepenak nganggo jarik,Rys mung bakal nganggo beskap,Rys ora bakal nganggo jarik sing dituku ibune,Rys menyang papan dolanan nganggo jarik
Kayla males banget mandi,"Nalika lelungan, kadang dheweke ora mandi saben dina","Sadurungé mangkat sekolah, Kayla angel banget mandi","Akibaté, awaké Kayla dadi reged lan mambu",Ora aneh yen kulit gatel amarga jarang mandi,Kayla bangga duwé awak sing mambu
Arya dadi regu pengibaran gendera ing upacara Sekaten,Arya minangka kebanggaan kanggo wong tuwa lan pesantren,Arya ngunggahake gendera pusaka ing Masjid Agung,Pasukan sing nggawa gendera pusaka kudu ngliwati seleksi sing angel kaya ta njalanke spiritual,Arya lolos seleksi dadi pasukan ngibarna gendera pusaka sajrone upacara Grebeg Maulud,Arya ora gelem ngibarake gendera amargi kudu nglakoni puasa mutih
Bu Lala gadhah putra papat,Putra sing mbarep lan ragil lanang,Putra tengah wadon,Saben putra lair kanthi jarak satunggal taun,"Sanadyan umuré wis caket, nanging tetep rukun",Bu Lala kepengin gadhah putra manèh
Bapak lan ibune Farhyand wis cerai,Farhyand manggon karo bapake ing Jawa Tengah,Ibune Farhyand nduweni hak asuh Farhyand kanggo ngulandara adat Jawa,Bapake Farhyand paring kamardikan kanggo milih antarane urip karo bapak utawa ibu,Farhyand milih manggon karo ibune kanggo nggandrungi adat leluhur,"Bapake Farhyand meksa Farhyand manggon karo dheweke nggunakake wewenang minangka wong tuwane, tanpa aji-aji Jawa"
Nirmala pancen kepengin nglayoni wayang kulit,Bapak ibu Nirmala ora duwe dhuwit kanggo tumbas layar,Nirmala mung arep mbolos sekolah kanggo nonton reog,Nirmala bisa mbantu bapak ibune golek dhuwit kanggo upacara adat,Nirmala ora gelem gawe susahe wong tuane kanggo nindakaké ritual,Nirmala mung mangertos carane mbuwang dhuwit kanggo tumbas sesajén
Ibu lagi tuku kebaya ing pasar,Ibu kasengsem ing telung batik didol,"Sayange, ibu kurang dhuwit rong puluh ewu",Akhire ibune nawar suwe-suwe karo bakul batik,"Sakwise rembugan rada suwe, akhire ibu entuk telung motif",Ibu nyolong dodot omah saka toko
Kacang pengen duwe kebaya anyar kanggo Upacara Adol,Kacang ngajak Ibu tuku kebaya anyar kanggo Upacara Adol,Ibu ora duwe dhuwit kanggo tuku kebaya anyar,Ibu janji arep tuku kebaya Kacang yen entuk dhuwit sasi ngarep,Ibu ora gelem tuku kebaya anyar kanggo Kacang,Kacang minggu ngarep duwe kebaya anyar
"Ajari aku dadi kuat kaya ibu,","Sampeyan kudu ngatasi kabeh alangan, Nak,","Langit meneng, kaya-kaya lagi mikir.",Banjur kepiye carane ngatasi alangan yen durung kuwat?,"Dheweke, alangan nggawe sampeyan kuwat. Ora ketompo carane akeh sampeyan gagal, sing carane akeh kekuatanmu mundhak","Kowe kudu olahraga saben dina, Nak,"
Sejatine Tomi seneng ngancani adhine nonton wayang kulit,Dheweke ora nate duwe masalah kanggo ndeleng lakon carangan kanggo bocah-bocah,"Miturut dheweke, lakon carangan uga menarik",Mung siji sing ora disenengi nalika nonton lakon carangan kanggo bocah-bocah,Sawetara bocah asring nangis bosen nalika nunggu giliran jumeneng,Gudeg kanggo bocah-bocah rasane manis banget
Rinan mutusake mudik menyang kampung halamane,Ora ana alesan maneh kanggo dheweke tetep ing ibukutha,Rinan wis kudu lunga saka ibukutha amarga ora duwe dhuwit,Rinan nangis nang bis,Rinan tekan kampung halamane wae sore,Rinan katonipun nggih ing stasiun kereta api
Dhea kudu melu panggung wayang,Dhea lulus dadi anggota grup wayang,Dhea kudu nglatih suara lan gerak supaya tambah apik,Dhea kudu bisa nggayuh nganti rampung pagelaran,Dhea kasil melu pagelaran wayang lan dadi anggota grup wayang ternama,Dhea ora lulus seleksi dadi anggota grup wayang ternama
Bu nesu tenan karo Joko,Waktu iki skor kertu laporan e saya mudhun,"Nyatane, Joko bebaya ora bisa munggah kelas",Bu mutusake kanggo ngukum Joko,Dhèwèkè ngalang-alangi anak è dolanan dolanan yèn bijin è ora mundhak,Joko ora bisa mangan kanggo semester ngarep
Ayva main sepeda kutha,Ayva duwe kawan apik,Kawan Ayva jenenge Loro,Loro ora bisa main sepeda kutha,Ayva ngajari Loro main sepeda kutha,Loro ora gelem kekancan karo Ayva
Siska wis suwe ora ngayog,Saiki dheweke katon lemu,Awake lemu lan gampang kesel yen lagi aktif,Siska mutusake kanggo ngayog rutin maneh,Panjenenganipun miwiti saka &#xE8;nth&#xE8;ng joged apa,Dheweke langsung ngleksanani ngangkat jemari sedina muput
Mripate Hana sing lagi natap gunungan ngarepe dumadakan ditutup.,"Banjur mbukak maneh, nanging mripate katon peteng.","Hana ngira wis wayah sore, padahal durung.",Hana ngantuk banget saking lama nggawa wayang.,"Hana mung turu 2 jam, saiki dheweke kudu ana ing pasar kanggo tindak bazar.",Hana kepengin mangan gudeg.
Aku nggoleki kunci omah ing saben pojok omah,Adhine aku nggawa kunci serep pungkasan,Aku mutusake kanggo nggawe duplikat kunci omah nalika adhine mulih,Aku ora iso lunga lan kudu nang omah,Aku ngopeni omah amarga wis ora duwe kunci serep maneh,Aku dolanan wayang kulit karo kanca-kancane
Aldo saiki lagi latihan nasional,Salah sawijining latihan sing ditindakake Aldo yaiku slametan,Aldo kudu bisa nyusup lan dadi siji karo lemah ing Alas Purwa,Aldo bisa banget nyekar kembang ing Punden,Aldo minangka peserta paling apik ing wayang kulit,Aldo ora bisa nyusup ing lemah ing alas Blambangan
"Tekan dhuwur, Nara kelingan karo wedang ronde rasa jahe sing diparingake wong","Ing wektu iku uga padha munggah ing puncak Borobudur, sing mesthi beda saka puncak Merapi sing ditekani saiki",Minuman iki uga asring diwenehake nalika wong lara demam,Nanging saiki Nara wis ora ngerti maneh kepriye kahanane wong sing menehi wedang ronde rasa jahe,"Muga-muga dheweke ora apa-apa,",Nara klelep amarga lemah lunyu ing ndhuwur pucuk beringin
Dany seneng banget mangan gudeg,Ibu menehi Dany akeh gudeg,Dany kudu bareng karo adhine,Dany rampung gudeg dhewekan,Mbakyuku nangis amarga ora duwe gudeg,Dany mangan gudeg karo mbakyune
Aiden alus banget mikir kanthi rasional kaya wayang kulit,Aiden tansah nganggep kasunyatan iku manut kekarepane kaya nggawe batik,Aiden naif banget babagan urip kaya bocah ing désa Jawa,"Aiden ora peduli karo kesalahane, mesti ngayomi wong liya","Aiden tansah nyalahake wong liya, kaya rasané péngin ngalahke","Aiden bisa nampa kasunyatan sing ora cocog karo kekarepane, mesti sabar kaya nunggu sesaji"
Mario menyang griya Sultan Agung.,Dheweke wis janji arep main wayang bareng sore iki.,Kegiatan iki ora sengaja dadi tradhari.,Wiwitane Sultan Agung mung ngajak Mario menyang griya kanggo seneng-seneng ndelok wayang.,Nanging ketoke padha seneng banget sing padha dadi tradhari saben malem Jemuwah Kliwon.,Nanging jebule tanggane.
Joko gelut karo Rudi,Rudi nutuk Joko ing gulu,Rudi pegel karo tumindak Joko,Joko nanggapi pawartos Rudi,Joko lan Rudi gelut mring ajine,Joko ora bisa perang lawan Rudi
Joko iku murid sing kompetitif,"Dheweke tansah kepengin dadi sing paling apik kaya mbah buyutipun, Pangeran Diponegoro","Dheweke tansah nyoba unggul ing bidang akademik lan non-akademik, kaya kejuaraan karawitan lan debat","Remaja kasebut kerja keras kanthi sinau lan melu macem-macem kegiatan ekstrakurikuler, kaya permainan tradisional Jawa lan kesenian batik","Keteguhan Joko dadi panutan kanggo kanca-kancane, nganti-anggota karang taruna desane uga nganut tindak lan tumindak","Yen ana murid sing luwih apik Joko bakal ngecakake dheweke, kaya nalika perang Bubat"
Apa panjenengan yakin yen ana wong sing bakal ganti saben dina?,,,"Hmm, bener, mbok menawa aku ora kudu mungkasi kekancan mung amarga masalah kepungkur,","Aku ngerti, bab sing ala mesthi bakal ninggalake kesan liyane. Nanging nyoba kanggo njaluk ngapura wae,",
Dina iki Khanza kena sempritan abot saka bawahané,Dheweke nggawe dosa ing karya sing diwenehake rong dina kepungkur,Laporan sing digawe ora tundhuk karo standar perusahaan,Bawahané njaluk Khanza mbenerake laporan sing digawe,Khanza njaluk ngapura amarga kelalaian lan mbenerake laporane,Khanza jengkel amarga rumangsa salah lan nolak dhawuhe bawahané
